,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,AGALPUR                                           ,Pulses,2017-01-02 15:32:54.760,Green Gram (Moong Bean/ Moong),BALANGIR,APPLY DAP @ 20KG + MOP @ 10KG./ACRE AS FERTILIZER IN GREEN GRAM,FERTILIZER IN GREEN GRAM,Cultural Practices	,RABI,AGRICULTURE,ODISHA
1,PUINTALA                                          ,Vegetables,2017-01-02 21:17:10.367,Onion,BALANGIR,SPRAY COPPER OXYCHLORIDE @ 3GM/1LIT WATER FOR FUNGAL INFECTION IN ONION,FUNGAL INFECTION IN ONION,Market Information,RABI,HORTICULTURE,ODISHA
2,TITLAGARH                                         ,Fiber Crops,2017-01-03 14:37:36.810,Cotton (Kapas),BALANGIR,DETAIL PACKAGE OF PRACTICE EXPLAINED IN COTTON CULTIVATION,COTTON CULTIVATION,Fertilizer Use and Availability,RABI,AGRICULTURE,ODISHA
3,DEOGAON                                           ,Vegetables,2017-01-03 14:54:31.760,Tomato,BALANGIR,"VNR 3357,VNR 3124-VARIETIES OF TOMATO",VARIETIES OF TOMATO,Seeds and Planting Material,RABI,HORTICULTURE,ODISHA
4,DEOGAON                                           ,Vegetables,2017-01-03 15:05:40.323,Cauliflower,BALANGIR,RECOMMENDED TO SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF EATING CATER PILLAR IN CAULIFLOWER,LEAF EATING CATER PILLAR IN CAULIFLOWER,	Plant Protection	,RABI,HORTICULTURE,ODISHA
5,DEOGAON                                           ,Vegetables,2017-01-03 15:10:07.050,Cucumber,BALANGIR,"VARIETY OF CUCUMBER---AZAD,TRUPTI,RANI",VARIETY OF CUCUMBER,Cultural Practices,RABI,HORTICULTURE,ODISHA
6,KHAPRAKHOL                                        ,Pulses,2017-01-03 16:04:37.227,Green Gram (Moong Bean/ Moong),BALANGIR,RECOMMENDED TO SPRAY UREA 4GM/ LIT WATER FOR BETTER GROWTH AND YIELD IN GREEN GRAM,FOR BETTER GROWTH AND YIELD IN GREEN GRAM,Cultural Practices	,RABI,AGRICULTURE,ODISHA
7,DEOGAON                                           ,Others,2017-01-03 18:07:50.117,Others,BALANGIR,CLOUDY WEATHER IN NEXT 4 DAYS-WEATHER REPORT TUSHRA,WEATHER REPORT TUSHRA,Weather,RABI,AGRICULTURE,ODISHA
8,GUDVELLA                                          ,Others,2017-01-03 18:11:25.380,Others,BALANGIR,THERE IS NO RAIN WITHIN 24HOURS AS PER IMD REPORT,WEATHER REPORT,Weather,RABI,AGRICULTURE,ODISHA
9,SAINTALA                                          ,Others,2017-01-03 18:15:24.153,Others,BALANGIR,CLOUDY WEATHER IN NEXT 5 DAYS-WEATHER REPORT BALANGIR,WEATHER REPORT BALANGIR,Weather,RABI,AGRICULTURE,ODISHA
10,AGALPUR                                           ,Pulses,2017-01-03 19:40:34.673,Green Gram (Moong Bean/ Moong),BALANGIR,"VARIETY OF GREENGRAM--DURGA,SAMARAT,K-851",VARIETY OF GREENGRAM,Cultural Practices	,RABI,AGRICULTURE,ODISHA
11,PATNAGARH                                         ,Oilseeds,2017-01-04 08:25:38.907,Groundnut (pea nut/mung phalli),BALANGIR,"APPLY DAP 35KG,MOP 27KG,UREA 4KG/ACRE",FERTILISER DOSE,Fertilizer Use and Availability,RABI,AGRICULTURE,ODISHA
12,AGALPUR                                           ,Pulses,2017-01-04 11:13:28.837,Green Gram (Moong Bean/ Moong),BALANGIR,"APPLY DAP 35KG,MOP 13KG,UREA 4KG/ACRE",FERTILISER DOSE,Fertilizer Use and Availability,RABI,AGRICULTURE,ODISHA
13,TUREKELA                                          ,Vegetables,2017-01-04 17:07:08.140,Brinjal,BALANGIR,RECOMMENDED TO SPRAY BOOM FLOWER 2ML / 1 LIT WATER,LESS FLOWERING IN POINTED GOURD,	Plant Protection	,RABI,HORTICULTURE,ODISHA
14,TUREKELA                                          ,Vegetables,2017-01-04 17:10:28.567,Chillies,BALANGIR,RECOMMENDED TO SPRAY ACEPHATE @ 2.5 GRAM / 1 LIT OF WATER,LEAF CURLING IN CHILLI,	Plant Protection	,RABI,HORTICULTURE,ODISHA
15,AGALPUR                                           ,Pulses,2017-01-05 08:06:11.570,Green Gram (Moong Bean/ Moong),BALANGIR,"GREEN GRAM VARIETY---JYOTI,PUSA 9072",GREEN GRAM VARIETY,Cultural Practices	,RABI,AGRICULTURE,ODISHA
16,PUINTALA                                          ,Fruits,2017-01-05 09:27:02.210,Lemon,BALANGIR,RECOMMENDED TO SPRAY PLANOFIX 1ML/ 5 LIT WATER FOR CONTROL OF FLOWER DROP IN LEMON,FLOWER DROP IN LEMON,	Plant Protection	,RABI,HORTICULTURE,ODISHA
17,AGALPUR                                           ,Cereals,2017-01-05 16:43:32.570,Paddy (Dhan),BALANGIR,"GITANJALI,AJAYA, RAJALAXMI,P.A-6201,PHB-71-VARIETIES OF PADDY",VARIETIES OF PADDY,Seeds,KHARIF,AGRICULTURE,ODISHA
18,AGALPUR                                           ,Others,2017-01-05 16:56:48.103,Others,BALANGIR,9937147081-CONTACT  OF BALANGIR KVK,CONTACT  OF BALANGIR KVK,Government Schemes,RABI,AGRICULTURE,ODISHA
19,AGALPUR                                           ,Others,2017-01-05 16:59:11.980,Others,BALANGIR,Assistant  Horticulture Officer	Chitta Ranjan Mallik	 	 	 	9437321052,AHO CONTACT NO OF BALANGIR,Bio-Pesticides and Bio-Fertilizers,RABI,AGRICULTURE,ODISHA
