,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,NISCHINTA KOILI                                   ,Flowers,2017-01-01 07:59:26.580,Marigold,CUTTACK,RECOMMENDED TO SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST IN MARIGOLD,APHID PEST IN MARIGOLD,	Plant Protection	,RABI,HORTICULTURE,ODISHA
1,NISCHINTA KOILI                                   ,Fruits,2017-01-01 08:03:35.833,Papaya,CUTTACK,RECOMMENDED TO SPRAY ACEPHETE 1.5 GM/ LIT WATER FOR CONTROL OF LEAF CURL IN PAPAYA,LEAF CURL IN PAPAYA,	Plant Protection	,RABI,HORTICULTURE,ODISHA
2,NISCHINTA KOILI                                   ,Flowers,2017-01-01 08:12:44.623,Marigold,CUTTACK,RECOMMENDED TO SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST IN MARIGOLD,APHID PEST IN MARIGOLD,	Plant Protection	,RABI,HORTICULTURE,ODISHA
3,ATHAGAD                                           ,Pulses,2017-01-01 12:06:59.923,Black Gram (urd bean),CUTTACK,RECOMMENDED TO SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF SUCKING PEST IN BLACKGRAM,SUCKING PEST IN BLACKGRAM,	Plant Protection	,RABI,AGRICULTURE,ODISHA
4,BADAMBA                                           ,Plantation Crops,2017-01-01 19:49:02.363,Cashew,CUTTACK,SPRAY PLANOFIX 1ML/5LITRES OF WATER,flower drop,Cultural Practices,RABI,HORTICULTURE,ODISHA
5,BANKI                                             ,Vegetables,2017-01-02 08:10:19.667,Cabbage,CUTTACK,RECOMMENDED TLEAF CURL IN CABBAGEO SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF LEAF CURL IN CABBAGE,LEAF CURL IN CABBAGE,	Plant Protection	,RABI,HORTICULTURE,ODISHA
6,BANKI                                             ,Vegetables,2017-01-02 08:13:08.420,Cabbage,CUTTACK,RECOMMENDED TO SPRAY MANCOZEAB 2GM/ LIT WATER FOR CONTROL OF LEAF BURN DISESES IN CABBAGE,LEAF BURN DISESES IN CABBAGE,	Plant Protection	,RABI,HORTICULTURE,ODISHA
7,NISCHINTA KOILI                                   ,Vegetables,2017-01-02 15:38:39.050,Onion,CUTTACK,SPRAY TATA MASTER @ 3GM/1LIT WATER FOR FUNGAL INFECTION IN ONION,FUNGAL INFECTION IN ONION,	Plant Protection	,RABI,HORTICULTURE,ODISHA
8,KANTAPADA                                         ,Cereals,2017-01-02 16:44:16.287,Paddy (Dhan),CUTTACK,PUT 2NO. CELLPHOS TABLET/BAG FOR STORAGE PEST MANAGEMENT IN PADDY,STORAGE PEST MANAGEMENT IN PADDY,Storage,KHARIF,AGRICULTURE,ODISHA
9,NIALI                                             ,Vegetables,2017-01-02 17:12:43.580,Potato,CUTTACK,SPRAY IMIDACHLORPRID @ 6ML/15LIT WATER FOR LEAF CURL VIRUS IN POTATO,LEAF CURL VIRUS IN POTATO,	Plant Protection	,RABI,HORTICULTURE,ODISHA
10,NISCHINTA KOILI                                   ,Oilseeds,2017-01-02 17:32:53.847,Groundnut (pea nut/mung phalli),CUTTACK,"APPLY DAP 35KG,MOP 27KG,UREA 4KG/ACRE",FERTILISER DOSE,Fertilizer Use and Availability,RABI,AGRICULTURE,ODISHA
11,ATHAGAD                                           ,Vegetables,2017-01-02 17:48:06.370,Cucumber,CUTTACK,SPRAY RIDOMIL MZ 2.5GM/1LITRE OF WATER,ROOT ROT,	Plant Protection	,RABI,HORTICULTURE,ODISHA
12,BANKI                                             ,Others,2017-01-02 18:00:12.647,Others,CUTTACK,CLOUDY WEATHER IN NEXT 4 DAYS-WEATHER REPORT BANKAI,WEATHER REPORT BANKAI,Weather,RABI,AGRICULTURE,ODISHA
13,ATHAGAD                                           ,Oilseeds,2017-01-02 18:13:03.350,Mustard,CUTTACK,KEEP HONEY BOX IN THE FIELD,FOR GOOD POLLINATION IN MUSTARD,Cultural Practices	,RABI,AGRICULTURE,ODISHA
14,BADAMBA                                           ,Vegetables,2017-01-02 18:19:33.003,Brinjal,CUTTACK,RECOMMENDED TO SPRAY PLANOFIX 1 ML/5 LIT WATER,FLOWERING HORMONE IN BRINJAL,Cultural Practices,RABI,HORTICULTURE,ODISHA
15,BADAMBA                                           ,Vegetables,2017-01-02 18:28:17.260,Brinjal,CUTTACK,RECOMMENDED TO SPRAY SPINOSAD 5ML / 15 LIT WATER AFTER CUTTING DOWN THE AFFECTED FRUIT,FRUIT BORER IN BRINJAL,	Plant Protection	,RABI,HORTICULTURE,ODISHA
16,KANTAPADA                                         ,Vegetables,2017-01-02 20:23:22.453,Cucumber,CUTTACK,"VNR KUMUD, B 10, MANDAKINI",VARIETY OF CUCUMBER,Cultural Practices,RABI,HORTICULTURE,ODISHA
17,KANTAPADA                                         ,Vegetables,2017-01-02 20:26:05.787,Bitter Gourd,CUTTACK,"VNR AAKASH,VNR-AKSHAY,VNR-IMP KATAHI",VARIETY OF BITTER GOURD,Cultural Practices,RABI,HORTICULTURE,ODISHA
18,MAHANGA                                           ,Pulses,2017-01-02 20:58:56.320,Green Gram (Moong Bean/ Moong),CUTTACK,SPRAY CHLOROPYRIPHOS 400ML/ACRE,CATERPILLAR,	Plant Protection	,RABI,AGRICULTURE,ODISHA
19,CUTTACKSADAR                                      ,Avian,2017-01-03 13:59:05.160,Turkey,CUTTACK,CONTACT BVO OF YOUR BLOCK,AVAILABILITY OF CHICKS,	Maket Information	,RABI,ANIMAL HUSBANDRY,ODISHA
