,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,ITAWA                                             ,Pulses,2017-01-01 08:38:35.417,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),KOTA,SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER,TELL ME CUT WORM CONTROL IN GRAM,	Plant Protection	,RABI,AGRICULTURE,RAJASTHAN
1,LADPURA                                           ,Condiments and Spices,2017-01-01 09:37:00.840,Coriander,KOTA,SPRAY SOLUBLE NPK  18:18:18 GRADE 8 GM/LTR WATER,TELL ME CORIANDER GROWTH AFFACTED.,Fertilizer Use and Availability,RABI,HORTICULTURE,RAJASTHAN
2,SANGOD                                            ,Condiments and Spices,2017-01-01 09:43:21.883,Coriander,KOTA,CONTACT NO. OF HORTICULTURIST= DR. A.K. SRIVASTAV-9829291885,TELL ME CONTACT NUMBER NUMBER OF HORTICULTURIST,Spices and Condiment Crops,RABI,HORTICULTURE,RAJASTHAN
3,SANGOD                                            ,Condiments and Spices,2017-01-01 09:47:44.117,Coriander,KOTA,"""?????????	 ??? ?? 1 ??. ??.	 ????? ???? ???? ??? ??? ??? ?? ?????? ????? """,TELL ME STEM GALL CONTROL IN CORINDER,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
4,ITAWA                                             ,Pulses,2017-01-01 11:13:25.930,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),KOTA,SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER,TELL ME INSECT CONTROL IN GARM ?,	Plant Protection	,RABI,AGRICULTURE,RAJASTHAN
5,SANGOD                                            ,Others,2017-01-01 11:22:53.650,Others,KOTA,PLANTING TIME OF ROSE= OCTOBER-NOVEMBER MONTH,TELL ME PLANTING TIME OF ROSE,Sowing Time and Weather,RABI,AGRICULTURE,RAJASTHAN
6,SANGOD                                            ,Pulses,2017-01-01 12:24:31.943,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),KOTA,USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION,TELL ME TERMITE CONTROL OF BENGAL GRAM,	Plant Protection	,RABI,AGRICULTURE,RAJASTHAN
7,KHAIRABAD                                         ,Pulses,2017-01-01 13:13:54.193,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),KOTA,SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER,TELL ME INSECT CONTROL IN GRAM,	Plant Protection	,RABI,AGRICULTURE,RAJASTHAN
8,KHAIRABAD                                         ,Fruits,2017-01-01 13:14:24.533,Papaya,KOTA,SPRAY OF PLANOFIX 1ML/4 LITRE,TELL ME FLOWER CONTROL IN PAPAYA,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
9,KHAIRABAD                                         ,Others,2017-01-01 13:16:10.550,Others,KOTA,CONTACT NUMBER FOR BEEKEEPING TRANING 9414222347,TELL ME CONTACT NUMBER OF BEEKEEPING,Training and Exposure Visits,RABI,AGRICULTURE,RAJASTHAN
10,KHAIRABAD                                         ,Condiments and Spices,2017-01-01 13:42:45.763,Garlic,KOTA,SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER,TELL ME INSECT CONTROL IN GARLIC ?,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
11,SANGOD                                            ,Condiments and Spices,2017-01-01 15:44:07.243,Garlic,KOTA,YOU CAN NOT USE HERBICIDE IN STANDING CROP OF GARLIC,TELL ME  CAN NOT USE HERBICIDE IN STANDING CROP OF GARLIC,Seeds and Planting Material,RABI,HORTICULTURE,RAJASTHAN
12,LADPURA                                           ,Animal,2017-01-01 16:06:38.830,"Bovine(Cow,Buffalo)",KOTA,18001806224-CONTACT NUMBER IN ANIMAL HUSBANDRY,TELL ME CONTACT NUMBER IN ANIMAL HUSBANDRY,Dairy Production,RABI,ANIMAL HUSBANDRY,RAJASTHAN
13,ITAWA                                             ,Others,2017-01-01 18:52:26.917,Others,KOTA,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
14,SANGOD                                            ,Condiments and Spices,2017-01-01 20:00:07.530,Garlic,KOTA,SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER,TELL ME INSECT CONTROL IN GARLIC,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
15,SANGOD                                            ,Pulses,2017-01-02 08:22:00.150,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),KOTA,HAND WEEDING MUST,TELL ME WEED CONTROL IN GRAM ?,Weed Management,RABI,AGRICULTURE,RAJASTHAN
16,KHAIRABAD                                         ,Others,2017-01-02 08:40:54.353,Others,KOTA,NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
17,SULTANPUR                                         ,Condiments and Spices,2017-01-02 08:41:01.640,Garlic,KOTA,SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER,TELL ME INSECT CONTROL IN GARLIC,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
18,KHAIRABAD                                         ,Others,2017-01-02 09:27:15.147,Others,KOTA,RAIN POSSIBILITY IN NEXT 5  DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
19,LADPURA                                           ,Others,2017-01-02 10:29:51.763,Others,KOTA,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
20,KHAIRABAD                                         ,Cereals,2017-01-02 11:07:01.473,Barley (Jau),KOTA,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
21,KHAIRABAD                                         ,Vegetables,2017-01-02 11:12:53.070,Potato,KOTA,SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER,TELL ME EARLEY BLIGHT IN POTATO,Fertilizer Use and Availability,RABI,HORTICULTURE,RAJASTHAN
22,SANGOD                                            ,Oilseeds,2017-01-02 11:37:18.813,Linseed (alsi),KOTA,YOU CAN NOT USE HERBICIDE IN STANDING CROP OF ALSI,TELL ME ABOUT WEED MANAGEMENT IN ALSI,Weed Management,RABI,AGRICULTURE,RAJASTHAN
23,KHAIRABAD                                         ,Pulses,2017-01-02 11:40:59.910,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),KOTA,SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER,TELL ME INSECT CONTROL IN GRAM,	Plant Protection	,RABI,AGRICULTURE,RAJASTHAN
24,SULTANPUR                                         ,Others,2017-01-02 13:17:07.697,Others,KOTA,NO RAIN POSSIBILITY IN NEXT 5 DAYS,TELL ME WEATHER INFORMATION,Government Schemes,RABI,AGRICULTURE,RAJASTHAN
25,SANGOD                                            ,Condiments and Spices,2017-01-02 13:44:50.797,Coriander,KOTA,"""?????????	 ??? ?? 1 ??. ??.	 ????? ???? ???? ??? ??? ??? ?? ?????? ????? """,TELL ME  DISEASE CONTROL IN CORIANDE,	Plant Protection	,RABI,HORTICULTURE,RAJASTHAN
26,KHAIRABAD                                         ,Others,2017-01-02 14:19:47.703,Others,KOTA,NO RAIN RAINFALL POSSIBILITE IN 5 DAYS IN YOUR DISTIC,TELL ME  WEATHER REPORT,Weather,RABI,AGRICULTURE,RAJASTHAN
27,KHAIRABAD                                         ,Others,2017-01-02 14:22:37.317,Others,KOTA,NO  RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
28,KHAIRABAD                                         ,Cereals,2017-01-02 15:13:04.740,Wheat,KOTA,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,RABI,AGRICULTURE,RAJASTHAN
29,SANGOD                                            ,Pulses,2017-01-02 15:16:33.617,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),KOTA,SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER,TELL ME MICRO NUTRIENT MANAGEMENT IN GRAM,Nutrient Management,RABI,AGRICULTURE,RAJASTHAN
