,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,DAMOH                                             ,Cereals,2017-01-01 10:53:52.040,Wheat,DAMOH,Recommended for Sulfosulfuron 75% + Metsulfuran Methyl 5% WG 16 gram per acer after 30 to 35 days of sowing.,Farmer want to know information about control of weeds in wheat ?,Weed Management,RABI,AGRICULTURE,MADHYA PRADESH
1,PATHARIYA                                         ,Cereals,2017-01-01 11:06:45.473,Wheat,DAMOH,Recommended for Spray N: P: K 19:19:19  100 grams and humic acid 30 ml at 15 liter of water.,Which fertilizer and nutrient give for better growth in wheat crop?,Fertilizer Use and Availability,RABI,AGRICULTURE,MADHYA PRADESH
2,PATHARIYA                                         ,Pulses,2017-01-01 11:07:38.990,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),DAMOH,Recommended for seed treatment of gram treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed,Farmer needs information regarding seed treatment of gram crop ?,	Plant Protection	,RABI,AGRICULTURE,MADHYA PRADESH
3,DAMOH                                             ,Cereals,2017-01-01 11:25:44.060,Wheat,DAMOH,Recommended for to control of rodents attack in wheat crop apply zinc phosphide in field.,Farmer needs information regarding control of rodents attack in wheat crop?,	Plant Protection	,RABI,AGRICULTURE,MADHYA PRADESH
4,DAMOH                                             ,Cereals,2017-01-01 11:28:54.303,Wheat,DAMOH,Recommended for to control of fungal attack use copper oxy chloride 50% WP (Blue copper or Dhanucop) or Copper Oxychloride 50 WG (blueget 727 sumil chemicals) 40 gram and streptocyclin 2 gram at 15 liter of water,Farmer needs information regarding How to control of fungal attack in wheat crop?,	Plant Protection	,RABI,AGRICULTURE,MADHYA PRADESH
5,PATHARIYA                                         ,Others,2017-01-01 13:15:50.540,Others,DAMOH,"Damoh 1 – 3 Day Weather Forecast Summary: Mostly dry. Warm (max 29°C on Sun afternoon, min 11°C on Tue night). Wind will be generally light.",farmer wants to know information about weather ?,Weather,RABI,AGRICULTURE,MADHYA PRADESH
6,DAMOH                                             ,Others,2017-01-01 15:28:16.143,Others,DAMOH,Recommended for to know about govt. schemes please contact rural agriculture extension officer.,Farmer wants to know information about govt. schemes?,Government Schemes,RABI,AGRICULTURE,MADHYA PRADESH
7,BATIYAGARH                                        ,Others,2017-01-01 16:46:20.040,Others,DAMOH,Recommended for Please contact your RAEO,Agriculture government schemes information?,Government Schemes,RABI,AGRICULTURE,MADHYA PRADESH
8,BATIYAGARH                                        ,Others,2017-01-01 16:47:22.807,Others,DAMOH,chance of no rainfall in your district from today to next five days.,farmer want to know information about weather?,Weather,RABI,AGRICULTURE,MADHYA PRADESH
9,DAMOH                                             ,Others,2017-01-01 17:04:06.040,Others,DAMOH,Recommended for Please contact your RAEO,Agriculture government schemes information?,Government Schemes,RABI,AGRICULTURE,MADHYA PRADESH
