,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,ANDIPATTI                                         ,Vegetables,2017-01-01 08:47:20.630,Chillies,THENI,Recommended for spray Acetamiprid 2 gm/ lit,Thrips in chilli,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
1,BODINAYAKKANUR                                    ,Vegetables,2017-01-04 13:43:40.157,Watermelon,THENI,Recommended for watermelon season november - december,asking about watermelon sowing season,Seeds and Planting Material,RABI,HORTICULTURE,TAMILNADU
2,ANDIPATTI                                         ,Fruits,2017-01-04 14:34:01.823,Banana,THENI,Recommended for spray potassium nitrate 10 gram / litre of water.,Asking about foliar nutrient spray for mango,Fertilizer Use and Availability,RABI,HORTICULTURE,TAMILNADU
3,ANDIPATTI                                         ,Fruits,2017-01-04 14:39:40.950,Mango,THENI,recommended for spray potassium nitrate 20 gm / litre of water,Asked about mango induced flowering,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
4,UTTAMAPALAIYAM                                    ,Vegetables,2017-01-04 16:51:52.327,Lab Lab,THENI,Recommended for spray MN mixture 5 gram / litre of water.,Asking about foliar nutrient spray for lab lab,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
5,UTTAMAPALAIYAM                                    ,Vegetables,2017-01-04 17:49:47.887,Lab Lab,THENI,Recommended for spray micro nutrient 5 g/lit of water,foliar spray in lab lab,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
6,UTTAMAPALAIYAM                                    ,Others,2017-01-04 18:23:52.677,Others,THENI,"Recommended for Today and tomorrow having cloudy weather and Possibility no Rainfall chances (Temperature will be 22 degree Celsius (°C), Precipitation Chances ( 0 % ) , Humidity level will be ( 76 % ) Wind speed 3 km / hr .",Weather report for theni district,Weather,RABI,AGRICULTURE,TAMILNADU
7,THENI                                             ,Others,2017-01-04 18:34:29.813,Others,THENI,"Recommended for Navarai(Dec -Jan)ADT 36, ADT 37, ASD 16, ASD 18, MDU 5, CORH 3",Paddy navarai season of planting and varieties for  Madurai/Dindigul/Theni,Sowing Time and Weather,RABI,AGRICULTURE,TAMILNADU
8,THENI                                             ,Others,2017-01-04 18:37:49.070,Others,THENI,Recommended for contact to Asst. Director of sericulture Theni phone:04546-265762,Asst. Director of sericulture Theni contact,Training and Exposure Visits,RABI,AGRICULTURE,TAMILNADU
9,THENI                                             ,Fruits,2017-01-04 18:46:49.273,Mulberry,THENI,Recommended for sericulture department contact number ph 0431-2464873,Trichy sericulture department contact number,Seeds and Planting Material,RABI,HORTICULTURE,TAMILNADU
