,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,Dharapuram,Others,2017-01-04 14:45:11.430,Others,TIRUPUR,Recommended for next one week having no rainfall,Asking about weather report for tiruppur district,Weather,RABI,AGRICULTURE,TAMILNADU
1,Madathukulam,Vegetables,2017-01-04 15:24:21.150,Bhindi(Okra/Ladysfinger),TIRUPUR,recommended for spray borox - 2 gm/ lit of water,asking about bhendi boron deficiency,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
2,Gudimanlam,Others,2017-01-04 15:28:25.990,Others,TIRUPUR,Recommended for copra market rate at elumathur Rs. 7150 -7380 / quintal,asking about copra market rate at elumathur,Market Information,RABI,AGRICULTURE,TAMILNADU
3,Tirrpur,Others,2017-01-04 15:33:55.257,Others,TIRUPUR,recommended for today and tommarrow cloudy weather and no possibility of rainfall,Asked about weather report information,Weather,RABI,AGRICULTURE,TAMILNADU
4,Gudimanlam,Plantation Crops,2017-01-04 15:48:18.480,Coconut,TIRUPUR,recommended for the copra  price  : Rs  6700-6800 /quintal,market price for copra,Market Information,RABI,HORTICULTURE,TAMILNADU
5,Tirrpur,Vegetables,2017-01-04 15:49:25.087,Onion,TIRUPUR,Recommended for apply urea 27 kg + super phosphate 150 kg + potash 20 kg/ac,Basal fertilizer management in onion,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
6,Pongalur,Plantation Crops,2017-01-04 15:54:56.050,Coconut,TIRUPUR,recommended for the copra price  : Rs  6700-6800 /quintal,market price for copra,Market Information,RABI,HORTICULTURE,TAMILNADU
7,Kundadam,Fruits,2017-01-04 16:44:02.253,Mulberry,TIRUPUR,Recommended for Bivoltine hybrid Cocoon Price of Coimbatore at Rs 232/kg,Cocoon Price of Coimbatore,Market Information,RABI,HORTICULTURE,TAMILNADU
8,Kundadam,Others,2017-01-04 16:46:11.840,Others,TIRUPUR,"Recommended for Uzhavarin Valarum Velanmai Subscription Rates Rs Annual: Rs.200/- , Institutional Annual: Rs.3000/- , Life (15 years): Rs.2000/- .Ph.: 0422-6611538",Uzhavarin Valarum Velanmai Subscription Rates,"Power, Roads etc.",RABI,AGRICULTURE,TAMILNADU
9,Tirrpur,Plantation Crops,2017-01-04 16:53:27.703,Coconut,TIRUPUR,"Recommended for one year tree apply urea 308g ,super phosphate 500g ,potash 480 g Borax 100g + 1 kg Neem cake /palm /year",coconut nutrient application for 1 year trees,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
10,Avanashi,Millets,2017-01-04 17:33:21.520,Sorghum (Jowar/Great Millet),TIRUPUR,Recommended for sorghum sowing season for tiruppur is Thaipattam,Asking about sorghum sowing season for tiruppur,Sowing Time and Weather,RABI,AGRICULTURE,TAMILNADU
11,Gudimanlam,Others,2017-01-04 17:34:54.690,Others,TIRUPUR,recommended for today and tommarrow cloudy weather and no possibility of rainfall,Asked about weather report information,Weather,RABI,AGRICULTURE,TAMILNADU
12,Udumalaipettai,Vegetables,2017-01-04 17:39:53.990,Watermelon,TIRUPUR,Recommended for spray imidacloprid 4ml /10 litre of water,Yellow mosaic virus management in watermelon,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
13,Madathukulam,Plantation Crops,2017-01-04 18:00:26.670,Coconut,TIRUPUR,Recommended for Spray dichlorvas 2ml / lit of water,Asking about Leaf caterpillars in coconut,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
14,Tirrpur,Medicinal and Aromatic Plants,2017-01-04 18:14:03.400,Caleus,TIRUPUR,"Recommended for Seeds: 200 – 250 kg/ha ,Tubers: 300 kg/ha",Glory lily Yield,Cultural Practices,RABI,HORTICULTURE,TAMILNADU
15,Tirrpur,Others,2017-01-04 18:48:29.107,Others,TIRUPUR,recommended for today and tommarrow cloudy weather and no possibility of rainfall,Asked about weather report information,Weather,RABI,AGRICULTURE,TAMILNADU
16,Kangyam,Fruits,2017-01-04 19:17:39.657,Mulberry,TIRUPUR,Recommended for Rs 427/kg.,Market rate for white cocoon,Market Information,RABI,HORTICULTURE,TAMILNADU
17,Tirrpur,Others,2017-01-04 19:21:26.220,Others,TIRUPUR,"Recommended for Today and tomorrow having cloudy weather and Possibility of light  Rainfall chances (Temperature will be 31 degree Celsius (°C), Precipitation Chances (0% ) , Humidity level will be (53%)wind speed will be(11km / hr)",Weather report for Thirupur district,Weather,RABI,AGRICULTURE,TAMILNADU
18,Tirrpur,Vegetables,2017-01-04 19:27:00.127,Watermelon,TIRUPUR,Recommended for contact number :044-27222400,Asking about drip irrigation subsidy information,Government Schemes,RABI,HORTICULTURE,TAMILNADU
19,Dharapuram,Fruits,2017-01-05 09:56:42.337,Mulberry,TIRUPUR,Recommended for bivoltine hybrid Cocoon Price of Coimbatore at Rs 454 /kg,Cocoon Price of Coimbatore,Market Information,RABI,HORTICULTURE,TAMILNADU
20,Kangyam,Fruits,2017-01-05 10:14:16.517,Aonla,TIRUPUR,recommended for chloripariphos 2 ml + carbendazim 2 gram /1 litre of water,asking about Amla leaf roller and leaf blight management,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
21,Udumalaipettai,Vegetables,2017-01-05 10:33:18.287,Brinjal,TIRUPUR,Recommended for Use yellow sticky traps at 5/ac,Whitefly management in brinjal,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
22,Dharapuram,Others,2017-01-05 11:03:25.670,Others,TIRUPUR,recommended for today no  rain,asking about tirupur weather report,Weather,RABI,AGRICULTURE,TAMILNADU
23,Udumalaipettai,Plantation Crops,2017-01-05 11:10:04.680,Coconut,TIRUPUR,recommended for  Anaimalai copra market rate  Rs.6720-6855/ quintal,asking about Anaimalai copra market rate,Market Information,RABI,HORTICULTURE,TAMILNADU
24,Tirrpur,Fruits,2017-01-05 12:44:50.517,Banana,TIRUPUR,Recommended for spray glyphosate 10 ml and 20 g ammonium sulphate / litre of water. planting after 3rd month.,weed management for banana,	Plant Protection	,JAYAD,HORTICULTURE,TAMILNADU
25,Avanashi,Vegetables,2017-01-05 17:08:24.870,Tomato,TIRUPUR,Recommended for apply 19:19:19- 2 kg + 13:0:45 - 2 kg /acre at 3-5 days interval.,Asking about fertigation schedule for tomato,Fertilizer Use and Availability,RABI,HORTICULTURE,TAMILNADU
26,Dharapuram,Plantation Crops,2017-01-05 17:18:51.370,Coconut,TIRUPUR,Recommended for Copra market rate Udumalpet Rs 5700-6200/quintal,Asking about Copra market rate,Market Information,RABI,HORTICULTURE,TAMILNADU
27,Udumalaipettai,Others,2017-01-05 18:23:37.960,Others,TIRUPUR,recommended for the weather report  : today have no rain,weather report for tirupur,Weather,RABI,AGRICULTURE,TAMILNADU
28,Kundadam,Others,2017-01-05 18:49:20.773,Others,TIRUPUR,recommended for today and tommarrow cloudy weather and no possibility of rainfall,Asked about weather report information,Weather,RABI,AGRICULTURE,TAMILNADU
29,Kundadam,Others,2017-01-05 19:06:22.990,Others,TIRUPUR,recommended for silk cacoon market information Rs 408-450 /kg,Asked about silk cacoon market information,Market Information,RABI,AGRICULTURE,TAMILNADU
30,Kundadam,Others,2017-01-05 19:08:43.467,Others,TIRUPUR,Recommended for Coimbatore Cocoon Price of  Max:450 Min:367,Coimbatore Cocoon Price,Weather,RABI,AGRICULTURE,TAMILNADU
31,Kundadam,Others,2017-01-05 19:12:58.923,Others,TIRUPUR,recommended for the cocoon price  : Rs  360-450 /kg,market price for cocoon,Market Information,RABI,AGRICULTURE,TAMILNADU
32,Tirrpur,Others,2017-01-05 19:56:10.947,Others,TIRUPUR,Recommended for today have no rainfall (0 mm).,Thirupur weather report,Weather,RABI,AGRICULTURE,TAMILNADU
33,Pongalur,Vegetables,2017-01-05 21:02:09.037,Brinjal,TIRUPUR,recommended for spray potassium sulphate 10 gm/liter of water,brinjal Poorly developed roots and fruit,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
34,Avanashi,Others,2017-01-06 08:13:02.447,Others,TIRUPUR,Recommended for Tirupur Today No Rain Fall (0.0 mm),Tirupur today weather Report,Weather,JAYAD,AGRICULTURE,TAMILNADU
35,Kangyam,Millets,2017-01-06 08:18:15.840,Maize (Makka),TIRUPUR,recommended for apply urea - 30 kg/ acre,asking about maize top dressing fertilizers,Fertilizer Use and Availability,RABI,AGRICULTURE,TAMILNADU
36,Madathukulam,Millets,2017-01-06 09:43:32.800,Maize (Makka),TIRUPUR,recommended for Kallakurichi maize market rate Rs.1479-1586/ quintal,asking about Kallakurichi maize market rate,Market Information,RABI,AGRICULTURE,TAMILNADU
37,Avanashi,Pulses,2017-01-06 09:59:43.140,Mochai (lab-lab),TIRUPUR,recommended for spray planofix 1ml/4.5 litre od water,Asked about flower drop management of Mochai,Nutrient Management,RABI,AGRICULTURE,TAMILNADU
38,Gudimanlam,Others,2017-01-06 10:42:49.410,Others,TIRUPUR,Recommended contact to block level agriculture office 7598158181,asking about govt. schemes information,Government Schemes,RABI,AGRICULTURE,TAMILNADU
39,Dharapuram,Vegetables,2017-01-06 11:32:27.810,Brinjal,TIRUPUR,Recommended for apply 43 kg urea at 30th day of after planting or During earthing up .,Brinjal Top fertilizer application for Varieties,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
40,Vellakoil,Others,2017-01-06 11:51:33.040,Others,TIRUPUR,Recommended to contact near agriculture department,Asking about insurance details for pulse crop,Crop Insurance,RABI,AGRICULTURE,TAMILNADU
41,Madathukulam,Vegetables,2017-01-06 12:44:00.900,Watermelon,TIRUPUR,"Recommended for Sow the seeds during November – December .Varieties Are : Sugar Baby and Arka Manik,PKM 1 and Hybrids Are : Arka Jyoti and Pusa Bedana .",Watermelon planting season and varieties,Cultural Practices,RABI,HORTICULTURE,TAMILNADU
42,Kundadam,Others,2017-01-06 12:45:46.977,Others,TIRUPUR,Recommended for copra market price Rs.57000-6200/quintal,Market price for copra,Market Information,RABI,AGRICULTURE,TAMILNADU
43,Kundadam,Others,2017-01-06 14:28:24.670,Others,TIRUPUR,"Recommended for Today and tomorrow having cloudy weather and Possibility of light  Rainfall chances (Temperature will be 23 degree Celsius (°C), Precipitation Chances (0% ) , Humidity level will be (69%)wind speed will be(13km / hr)",Weather report for Thirupur district,Weather,RABI,AGRICULTURE,TAMILNADU
44,Gudimanlam,Others,2017-01-06 14:32:21.773,Others,TIRUPUR,recommended for the contact : cooperative bank,asking about crop insurance,Government Schemes,RABI,AGRICULTURE,TAMILNADU
45,Kundadam,Others,2017-01-06 14:39:53.677,Others,TIRUPUR,recommended for phone number:9965148916,asking about agriculture department phone number,Crop Insurance,RABI,AGRICULTURE,TAMILNADU
46,Dharapuram,Others,2017-01-06 15:29:06.553,Others,TIRUPUR,recommended for the cocoon price  : Rs  360-456 /kg,Coimbatore cocoon market price,Market Information,RABI,AGRICULTURE,TAMILNADU
47,Udumalaipettai,Vegetables,2017-01-06 17:12:43.610,Brinjal,TIRUPUR,"Recommended for Cultivate inter crop cotton with Brinjal 4:2 Ratio and grow maize crop around the field, Install light traps for 1 per acre , Remove Affected plant parts , Spray BT solution 1 ml / lit of water at the time of flowering stage , Spray neem seeds kernel extract ( Make powder 0.5kg of neem kernels And tied with gunny bags and put in the Buckets which is contain 10 lit of water allowed it for extraction).",Brinjal Shoot and fruit borer management,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
48,Madathukulam,Cereals,2017-01-06 19:12:48.793,Paddy (Dhan),TIRUPUR,recommended for spray urea 10gm +DAP 20gm + potassium chloride 10 gm /litre of water,Asked about Foliar nutrition for paddy,Nutrient Management,RABI,AGRICULTURE,TAMILNADU
49,Udumalaipettai,Fruits,2017-01-06 19:28:17.817,Papaya,TIRUPUR,recommended for apply 100 gm urea + 300 gm super phosphate + 80 gm potash / plant at bimonthly intervels,Papaya top dressing fertilizer management,Nutrient Management,RABI,HORTICULTURE,TAMILNADU
50,Udumalaipettai,Vegetables,2017-01-06 19:47:59.460,Watermelon,TIRUPUR,Recommended for seed treated with Carbendazim 2g/kg of seeds,Asking about Water melon seed treatment information,	Plant Protection	,RABI,HORTICULTURE,TAMILNADU
