,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,NIPHAD                                            ,Others,2017-01-01 07:21:26.737,Others,NASIK,"THIS WEEK WEATHER IS CLEAR ,  NO RAINFALL CHANCES",Asking about weather forecast ?,Weather,RABI,AGRICULTURE,MAHARASHTRA
1,SINNAR                                            ,Fruits,2017-01-01 07:54:25.707,Pomegranate,NASIK,SPRAY PLANOFIX 4 ML/15 LITER WATER,FLOWER DROP,Nutrient Management,RABI,HORTICULTURE,MAHARASHTRA
2,MALEGAON                                          ,Cereals,2017-01-01 09:06:58.043,Wheat,NASIK,APPLICATION OF UREA 2 BAGS(IN 3 SPLIT DOSES 30 DAYS AND 60 DAYS)+ SSP- 125 KG + MOP -35 KG /ACRE,FERTILIZER DOSE FOR WHEAT ?,Fertilizer Use and Availability,RABI,AGRICULTURE,MAHARASHTRA
3,DEOLA                                             ,Vegetables,2017-01-01 09:16:55.757,Cabbage,NASIK,VARIETIES OF CABBAGE - GOLDEN EKAR PRIDE OF INDIA PUSA MUKTA KAVERI,VARIETIES OF CABBAGE ?,Seeds and Planting Material,RABI,HORTICULTURE,MAHARASHTRA
4,SINNAR                                            ,Plantation Crops,2017-01-01 09:57:47.753,Coconut,NASIK,spray virat 15 ml / 15 litar of water,Attack of Caterpillar ?,	Plant Protection	,RABI,HORTICULTURE,MAHARASHTRA
5,IGATPURI                                          ,Vegetables,2017-01-01 10:04:05.473,Cucumber,NASIK,Spray Rogar 15ml/15 Lit of Water.,ASKED ABOUT  THRIPS ON CUCUMBER?,	Plant Protection	,RABI,HORTICULTURE,MAHARASHTRA
6,NANDGAON                                          ,Fiber Crops,2017-01-01 10:44:51.313,Cotton (Kapas),NASIK,Market Rate of cotton 	5000-5100   rupees/qtl,Asking About Market Rate of cotton ?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
7,SINNAR                                            ,Others,2017-01-01 11:00:10.013,Others,NASIK,SPRAY MICROLA 30 ML/15 litre WATER.,YELLOWING,	Plant Protection	,RABI,AGRICULTURE,MAHARASHTRA
8,SINNAR                                            ,Fruits,2017-01-01 11:25:37.363,Grape,NASIK,For preparation of Bijamrut use 1 kg cow dung + 1 liter cow urine + 100 ml milk+ 50 gm lime+ mati 500 gm+ tricoderma viridi 100 gm,fertilizer for pomogranety?,Organic Farming,RABI,HORTICULTURE,MAHARASHTRA
9,SINNAR                                            ,Others,2017-01-01 11:25:44.207,Others,NASIK,This Week Weather is Partly Cloudy and No Possibility of Rainfall.,Asking about weather forecast?,Weather,RABI,AGRICULTURE,MAHARASHTRA
10,SINNAR                                            ,Pulses,2017-01-01 11:44:00.790,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),NASIK,Market Rate of gram-4500-7900  rupees/qtl,Asking About Market Rate of gram?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
11,BAGLAN                                            ,Millets,2017-01-01 12:00:57.833,Maize (Makka),NASIK,"VARIETIES OF MAIZE -P3546 P3396 ,P3533 P3522, NK-6240, SANGAM VIVEK- SANKUL ,PANCHGANGA,NK-30",VARIETIES OF MAIZE ?,Varieties,RABI,AGRICULTURE,MAHARASHTRA
12,MALEGAON                                          ,Pulses,2017-01-01 12:01:52.070,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),NASIK,SPRAY 19.19.19 60 GRAM +MICROLLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.,ASKED ABOUT BENGAL GRAM GROWTH SPRAY?,Nutrient Management,RABI,AGRICULTURE,MAHARASHTRA
13,NIPHAD                                            ,Vegetables,2017-01-01 12:07:03.423,Watermelon,NASIK,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,Attack of Thrips and Jassids?,	Plant Protection	,RABI,HORTICULTURE,MAHARASHTRA
14,NANDGAON                                          ,Vegetables,2017-01-01 12:55:55.520,Onion,NASIK,Market Rate of  	300	685	650 rupees/qtl,Asking About Market Rate of?,Market Information,RABI,HORTICULTURE,MAHARASHTRA
15,CHANDWAD,Others,2017-01-01 12:58:07.047,Others,NASIK,"Partly Cloudy, No Possible of Rain.",Asking about weather forecast ?,Weather,RABI,AGRICULTURE,MAHARASHTRA
16,CHANDWAD,Fruits,2017-01-01 13:04:13.300,Grape,NASIK,grape planting distance 9x6 foot,grape planting distance?,Cultural Practices,RABI,HORTICULTURE,MAHARASHTRA
17,KALWAN                                            ,Vegetables,2017-01-01 13:17:07.707,Brinjal,NASIK,Spray of Oberon 15ml/15 Liter of Water.,Attack Red Mites ?,	Plant Protection	,RABI,HORTICULTURE,MAHARASHTRA
18,NASHIK                                            ,Others,2017-01-01 14:10:56.337,Others,NASIK,This week weather is clear and no Possibility of Rainfall.,Asking about weather forecast?,Weather,RABI,AGRICULTURE,MAHARASHTRA
19,NIPHAD                                            ,Animal,2017-01-01 14:21:37.050,"Bovine(Cow,Buffalo)",NASIK,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 3268,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,	Maket Information	,RABI,ANIMAL HUSBANDRY,MAHARASHTRA
20,PETH,Millets,2017-01-01 14:24:33.560,Sorghum (Jowar/Great Millet),NASIK,weed management = give two hand weeding on 20th and 30th day after sowing .,asked about weed management ?,Weed Management,RABI,AGRICULTURE,MAHARASHTRA
21,BAGLAN                                            ,Fruits,2017-01-01 14:29:15.643,Pomegranate,NASIK,spray etherel 2 mili /liter,ehterel spray on pomogranet?,Cultural Practices,RABI,HORTICULTURE,MAHARASHTRA
22,SINNAR                                            ,Others,2017-01-01 14:36:11.533,Others,NASIK,This week weather is clear and no Possibility of Rainfall.,Asking about weather forecast?,Weather,RABI,AGRICULTURE,MAHARASHTRA
23,YEOLA,Fruits,2017-01-01 14:44:37.987,Pomegranate,NASIK,market rate of pomegranate  = SATANA	QUINTAL	145	500	6500,asked about market rate of pomegranate  ?,Market Information,RABI,HORTICULTURE,MAHARASHTRA
24,DINDORI                                           ,Others,2017-01-01 15:00:55.967,Others,NASIK,visit to tao,asking about govt scheme?,Government Schemes,RABI,AGRICULTURE,MAHARASHTRA
25,DINDORI                                           ,Others,2017-01-01 15:05:13.643,Others,NASIK,visit to tao,asking about govt scheme?,Government Schemes,RABI,AGRICULTURE,MAHARASHTRA
26,DEOLA                                             ,Others,2017-01-01 16:09:24.940,Others,NASIK,This week weather is Partly cloudy  NO CHANCES OF RAINFALL,Asking about weather forecast  ?,Weather,RABI,AGRICULTURE,MAHARASHTRA
27,CHANDWAD,Others,2017-01-01 16:28:43.967,Others,NASIK,Visit to TAO to getting detail information about Govt. Schemes.,Farmer Asked About Govt. Schemes?,Government Schemes,RABI,AGRICULTURE,MAHARASHTRA
28,CHANDWAD,Others,2017-01-01 16:28:44.457,Others,NASIK,Visit to TAO to getting detail information about Govt. Schemes.,Farmer Asked About Govt. Schemes?,Government Schemes,RABI,AGRICULTURE,MAHARASHTRA
