,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
0,MANWAT,Others,2017-01-01 08:45:21.427,Others,PARBHANI,For more information visit to tahsil agricultural officer.,asked about govt scheme ?,Government Schemes,RABI,AGRICULTURE,MAHARASHTRA
1,SAILU,Oilseeds,2017-01-01 08:57:50.387,Groundnut (pea nut/mung phalli),PARBHANI,"GROUNDNUT VARITIES : TAG-24, JL-24-*,SB-11",ASKED ABOUT GROUNDNUT VARITIES ?,Varieties,RABI,AGRICULTURE,MAHARASHTRA
2,SAILU,Fiber Crops,2017-01-01 09:34:01.430,Cotton (Kapas),PARBHANI,Market Rate of cotton - 522   rupees/qtl,Asking About Market Rate of cotton ?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
3,PARBHANI                                          ,Pulses,2017-01-01 09:50:53.413,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),PARBHANI,foliar spray for gram- spray 0;52;34 75 gm + microla 30 ml / 15 litter of water,foliar spray for gram ?,Nutrient Management,RABI,AGRICULTURE,MAHARASHTRA
4,JINTUR                                            ,Pulses,2017-01-01 10:13:48.667,Pigeon pea (red gram/arhar/tur),PARBHANI,00 52 34 60 gm + microla 30 ml/ 15 lit water,Growth Sprayer?,Fertilizer Use and Availability,RABI,AGRICULTURE,MAHARASHTRA
5,SAILU,Others,2017-01-01 10:21:20.840,Others,PARBHANI,CROPS TAKEN DURING SUMMER SEASON - GROUNDNUT TIL VEGETABLES AND WATERMELON JOWAR BAJRI MAIZE MOONG BLACK GRAM,FARMER ASKED WHICH CROPS SHOULD BE TAKEN IN SUMMER SEASON ?,Agriculture Mechanization	,RABI,AGRICULTURE,MAHARASHTRA
6,SONPETH                                           ,Fiber Crops,2017-01-01 10:22:51.320,Cotton (Kapas),PARBHANI,RS 5050-5230/qtl parbhani cotton market,asked about market rate of cotton ?,Market Information,RABI,AGRICULTURE,MAHARASHTRA
7,PALAM                                             ,Cereals,2017-01-01 10:35:11.237,Wheat,PARBHANI,Spray M-45 30 gm /15 liter water.(Mancozeb) INDOFIL,RUST ATTACK ON WHEAT ?,	Plant Protection	,RABI,AGRICULTURE,MAHARASHTRA
8,PALAM                                             ,Cereals,2017-01-01 10:40:49.563,Wheat,PARBHANI,SPRAY - MICROLA 45 ML + M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro,asking about Fungicides in wheat ?,Nutrient Management,RABI,AGRICULTURE,MAHARASHTRA
9,PALAM                                             ,Millets,2017-01-01 11:17:15.540,Sorghum (Jowar/Great Millet),PARBHANI,Spray Quinalphos (25 % EC)15 ml/ l5 liter of water,asked about attack of caterpillar,	Plant Protection	,RABI,AGRICULTURE,MAHARASHTRA
